id,description
9458253,"Mesías Guevara asegura que no postulará a la presidencia en el 2021-El presidente de Acción Popular, Mesías Guevara, informó que no renunciará a su cargo como gobernador de la región Cajamarca para postular a la presidencia de la República en las Elecciones Generales del 2021."
1951764,"George Forsyth confirma candidatura: “Postularé a la presidencia del Perú” [VIDEO]-El exalcalde de La Victoria anunció su candidatura al más alto cargo del Gobierno durante la última sesión del Concejo Municipal que lideró este lunes 12."
9525815,"Congreso: Presidente Martín Vizcarra observa norma sobre declaraciones juradas de intereses-Poder Ejecutivo señala que el Parlamento no tiene criterios razonables para autoexcluirse de los alcances totales de la norma. Además advierte sobre vacíos en la fórmula legal."
171214,"Elecciones 2021: En busca de lideresas para las planchas presidenciales-El criterio de paridad y alternancia se aplicará, por primera vez, a las planchas presidenciales. Sin embargo, los partidos políticos afrontan problemas debido a la poca cantidad de mujeres afiliadas y el poco espacio brindado para los cargos directivos."
8970062,"La atomización del canon petrolero y los conflictos sociales en Loreto, por Liseth Manrique-¿Sabía usted que no en todos los departamentos a donde llega el canon petrolero, éste se distribuye de la misma manera? Esto se debe a que para cada uno de los departamentos existe una ley diferente de repartición del canon, lo cual conlleva a diferentes impactos en el desarrollo de los pueblos donde se realiza la actividad petrolera."
4691779,"Burga: comisión especial sobre sector construcción debería investigar testimonio contra Vizcarra-El vocero alterno de la bancada de Acción Popular, Ricardo Burga, dijo que solicitará a Edgar Alarcón (Unión por el Perú), presidente de la Comisión de Fiscalización, que no investigue la difusión del testimonio de un aspirante a colaborador eficaz del caso 'Club de la construcción' que acusa a Martín Vizcarra de presuntamente haber recibido S/1 millón de manera ilícita cuando era gobernador regional de Moquegua."
824771,"¿Es viable la propuesta del Congreso para reformar el Sistema de Pensiones?-"
4247874,"Elecciones 2021: miembros de Jurados Electorales Especiales fueron preseleccionados por la Reniec-El Jurado Nacional de Elecciones deberá elegir entre los convocados para que representen a la ciudadanía en el escrutinio del desarrollo de los próximos comicios."
3313605,"Romi Infantas: “Me tocó asumir la alcaldía de Cusco en momentos difíciles” [VIDEO]-A sus 25 años, se había convertido en la alcaldesa más joven del país. Tuvo que tomar el mando luego de la muerte de Ricardo Valderrama. Ahora que la Corte Suprema revocó la sentencia al suspendido Víctor Boluarte, debe entregar el cargo."
7109723,"Reactiva-Microempresa ayudaría a más mypes golpeadas por efectos de pandemia, plantea la CCL-"
6723917,"Bank of China, el nuevo banco que entra al Perú en plena pandemia: “Vamos a remodelar los servicios financieros”-Bank of China  ingresó a nuestro país en plena pandemia con la idea de acompañar las inversiones locales y extranjeras que se vayan reactivando tras la crisis. “Siempre hemos considerado al Perú como uno de los mercados más importantes de la región”, nos dice su CEO, Zhao Zhenyu."
935022,"El camino que aún falta recorrer: medidas tributarias para reactivar el sector turismo, por Ivy García-Pacheco-Los indicadores del impacto generado por la pandemia en el sector turismo son alarmantes si consideramos que una de las principales fuentes de entrada de divisas del país proviene del turismo receptivo."
5219169,"Bono Familiar Universal: consulta AQUÍ el LINK oficial para saber si eres beneficiario del segundo monto de S/. 760-Revisa AHORA toda la información necesaria sobre el segundo Bono Familiar Universal a través de la página https://bfu.gob.pe/. Además, conoce otros detalles necesarios para cobrar el monto asignado."
2288990,"Cáncer de Lengua: estos son los factores de riesgo y tratamiento-Una lesión en la lengua que permanezca por más de dos semanas podría ser un signo de alarma que advierta la presencia de cáncer en esta zona de la cavidad oral, señaló Mauricio León Rivera, director médico del Centro Detector del Cáncer y cirujano oncólogo de la Clínica Ricardo Palma."
1718263,"George Forsyth renunció a la alcaldía de La Victoria con miras a Elecciones Generales 2021-"
4860105,"Vacunas que los niños deben recibir de acuerdo con su edad y son gratuitas-<p>Actualmente, nuestro país cuenta con un total de 17 vacunas avaladas por la Organización Mundial de la Salud (<span class="caps">OMS</span>) que han ayudado a prevenir graves enfermedades. </p>"
1975479,"Bono Solidario Panamá: CONSULTA AQUÍ si eres beneficiario del vale digital-Averigua AHORA si eres acreedor del apoyo económico del Gobierno de Panamá destinado a los ciudadanos con menos recursos afectados por la pandemia."
4644015,"Southern Copper cerca de culminar EIA del proyecto minero Los Chancas-Inversión por el proyecto será de 2.800 millones de dólares y se espera agregar 130.000 toneladas métricas de cobre."
397399,"BCR: Superávit comercial se contrae a US$ 321 millones en agosto por caída de envíos tradicionales-La balanza comercial registró un superávit de US$ 321 millones en agosto, una caída de US$ 642 millones en comparación con el resultado de julio, debido a la caída de las exportaciones tradicionales, informó el Banco Central de Reserva (BCR)."
3212482,"Edgar Alarcón: insisten que se convoque a Comisión Permanente para evaluar sus denuncias-El parlamentario Gino Costa le solicitó al presidente de la Subcomisión de Acusaciones Constitucionales que envíe oficios para agendar el tema en la Comisión Permanente."
1758866,"Segundo Bono Familiar Universal (BFU): LINK oficial para acceder al subsidio de S/ 760-Consulta AQUÍ cómo, cuándo y dónde cobrar el Segundo Bono Familiar Universal (BFU) dispuesto por el Midis. Ingresa a www.bfu.gob.pe para que sepas en qué fecha puedes recibirlo."
5903992,"Tres niños que nacieron con sordera escuchan por primera vez las voces de sus madres-Tres niños que nacieron con sordera congénita escucharon por primera vez en su vida la voz de sus respectivas madres en medio de la pandemia del COVID-19, gracias a la cirugía de implantes cocleares que exitosamente realizaron los especialistas del Instituto Nacional de Salud del Niño San Borja."
1853470,"Martín Vizcarra: “Sin una sola prueba se atreven a tratar de manchar honras y meternos en el mismo saco”-Martín Vizcarra manifestó que “sin una sola prueba” lo están acusando de haber recibido pagos ilícitos en el caso ‘Club de la construcción’."
4675015,"Mesías Guevara, presidente de Acción Popular, descartó precandidatura a las elecciones 2021-El líder del partido Acción Popular informó que no renunciará a su cargo como gobernador regional de Cajamarca para postular a los comicios generales del próximo año."
2101560,"Caso Richard Swing: PJ reprograma para el 21 de octubre audiencia de prisión preventiva-La jueza Sonia Bazalar reprogramó para el miércoles 21 de octubre, a las 3 de la tarde, la audiencia en la que se evaluará la solicitud de la fiscal Janny Sánchez-Porturas de nueve meses de prisión preventiva contra Mirian Morales, ex secretaria general de la Presidencia; Óscar Vásquez Zegarra, ex asesor del mandatario Martín Vizcarra; Liliana Chanamé, exdirectora de la Oficina de Recursos Humanos del Ministerio de Cultura (MINCUL); y el cantante Richard ‘Swing’ Cisneros."
7557562,"Congreso aún no aprueba moratoria mientras acumula proyectos para crear nuevas universidades-"
262139,"Velarde sobre retiro del 100% en AFP: “Recomendamos no aprobar esta norma”-Julio Velarde, presidente de la entidad monetaria, se presentó ante la Comisión de Economía del Congreso que hoy debate sobre la liberación de los fondos previsionales en el sistema privado."
1643791,"Caso “Richard Swing”: PJ reprograma audiencia de prisión preventiva contra investigados para el 21 de octubre-"
3633764,"Estado debe casi 13.000 millones de soles a casi 448.000 trabajadores por AFP-Señaló la Asociación de AFP, indicando que 7.752 millones de soles se concentran en las ent9idades del gobierno nacional."
